anomes_encendido,FLAG_TC,qtd_propostas,avg_comunicacoes_por_proposta
202601,1. TC Full,10407845,7.11
202601,2. Micro TC,996682,8.65
202602,1. TC Full,11821192,4.38
202602,2. Micro TC,1228684,6.85
202603,1. TC Full,11935690,7.03
202603,2. Micro TC,1209126,6.17
202604,1. TC Full,11461246,5.86
202604,2. Micro TC,1342333,5.56
202605,1. TC Full,11505300,5.34
202605,2. Micro TC,1513575,3.62
202606,1. TC Full,9919787,5.9
202606,2. Micro TC,1540085,3.45
202607,1. TC Full,9907275,5.2
202607,2. Micro TC,1260573,4.0
202608,1. TC Full,9551158,2.5
202608,2. Micro TC,1227372,2.28
