anomes_encendido,FLAG_TC,bucket,bucket_ord,qtd_propostas
202601,1. TC Full,0,0,1414477
202601,1. TC Full,1,1,1156394
202601,1. TC Full,2,2,588106
202601,1. TC Full,3,3,414297
202601,1. TC Full,4,4,448041
202601,1. TC Full,5,5,535676
202601,1. TC Full,6,6,594357
202601,1. TC Full,7,7,624546
202601,1. TC Full,8,8,616121
202601,1. TC Full,9,9,613605
202601,1. TC Full,10+,10,3402225
202601,2. Micro TC,0,0,103349
202601,2. Micro TC,1,1,39771
202601,2. Micro TC,2,2,30290
202601,2. Micro TC,3,3,30271
202601,2. Micro TC,4,4,47060
202601,2. Micro TC,5,5,90646
202601,2. Micro TC,6,6,60225
202601,2. Micro TC,7,7,54858
202601,2. Micro TC,8,8,55665
202601,2. Micro TC,9,9,56850
202601,2. Micro TC,10+,10,427697
202602,1. TC Full,0,0,1832854
202602,1. TC Full,1,1,1468380
202602,1. TC Full,2,2,856171
202602,1. TC Full,3,3,834052
202602,1. TC Full,4,4,1106307
202602,1. TC Full,5,5,1358730
202602,1. TC Full,6,6,1305566
202602,1. TC Full,7,7,1022311
202602,1. TC Full,8,8,702658
202602,1. TC Full,9,9,452916
202602,1. TC Full,10+,10,881247
202602,2. Micro TC,0,0,158384
202602,2. Micro TC,1,1,45370
202602,2. Micro TC,2,2,35996
202602,2. Micro TC,3,3,51630
202602,2. Micro TC,4,4,138187
202602,2. Micro TC,5,5,87007
202602,2. Micro TC,6,6,78737
202602,2. Micro TC,7,7,91597
202602,2. Micro TC,8,8,119345
202602,2. Micro TC,9,9,79361
202602,2. Micro TC,10+,10,343070
202603,1. TC Full,0,0,1734196
202603,1. TC Full,1,1,991345
202603,1. TC Full,2,2,801505
202603,1. TC Full,3,3,589605
202603,1. TC Full,4,4,608303
202603,1. TC Full,5,5,674037
202603,1. TC Full,6,6,677634
202603,1. TC Full,7,7,650106
202603,1. TC Full,8,8,601582
202603,1. TC Full,9,9,590540
202603,1. TC Full,10+,10,4016837
202603,2. Micro TC,0,0,122896
202603,2. Micro TC,1,1,56015
202603,2. Micro TC,2,2,52099
202603,2. Micro TC,3,3,60060
202603,2. Micro TC,4,4,80975
202603,2. Micro TC,5,5,178151
202603,2. Micro TC,6,6,143196
202603,2. Micro TC,7,7,93948
202603,2. Micro TC,8,8,79167
